iter	RMSE
0	2.250359918
1	2.250038092
2	2.249774887
3	2.249532458
4	2.249233309
5	2.248893061
6	2.248828343
7	2.248739338
8	2.248565876
9	2.248542842
10	2.248397496
11	2.248170721
12	2.24794054
13	2.247940471
14	2.247792778
15	2.247617857
16	2.247429148
17	2.247236067
18	2.247093102
19	2.246797913
20	2.246615236
21	2.246541679
22	2.246489778
23	2.246464573
24	2.24608514
25	2.245839152
26	2.245544431
27	2.24529363
28	2.245121546
29	2.245032072
30	2.244963655
31	2.244807072
32	2.24466644
33	2.244516013
34	2.244391125
35	2.244213172
36	2.244209725
37	2.244207817
38	2.243988382
39	2.243976327
40	2.243821055
41	2.243593473
42	2.243098881
43	2.242878784
44	2.242664372
45	2.242617036
46	2.242433646
47	2.242256107
48	2.242024352
49	2.241807185
50	2.241679458
51	2.241499702
52	2.241098155
53	2.240965278
54	2.240935363
55	2.240772177
56	2.240725876
57	2.240678193
58	2.240283255
59	2.240092043
60	2.239982863
61	2.239854083
62	2.239579081
63	2.239452956
64	2.239258268
65	2.239258268
66	2.239069337
67	2.238725429
68	2.238530045
69	2.238211254
70	2.238134637
71	2.23798373
72	2.237846583
73	2.237768314
74	2.237716653
75	2.237694648
76	2.23758172
77	2.237441875
78	2.237272996
79	2.237057856
80	2.237018928
81	2.236794161
82	2.23646231
83	2.236302753
84	2.23616074
85	2.235978949
86	2.235838056
87	2.235783755
88	2.235749199
89	2.23562651
90	2.235445544
91	2.235271746
92	2.235211625
93	2.234949796
94	2.234738957
95	2.234540734
96	2.234451351
97	2.234313295
98	2.234237763
99	2.233950507
100	2.233898066
101	2.233723744
102	2.233610808
103	2.23352961
104	2.233488375
105	2.233338398
106	2.23330369
107	2.233144584
108	2.232936424
109	2.232696686
110	2.232468734
111	2.232257306
112	2.23201513
113	2.231826719
114	2.231604128
115	2.231419789
116	2.231172319
117	2.231062169
118	2.23089634
119	2.230737654
120	2.23056408
121	2.230293883
122	2.230089829
123	2.229877489
124	2.229710914
125	2.229561285
126	2.229425802
127	2.229351158
128	2.229343182
129	2.229232762
130	2.229118466
131	2.229032595
132	2.228751511
133	2.228609177
134	2.228305912
135	2.228128308
136	2.228081169
137	2.228055041
138	2.227973536
139	2.227844371
140	2.227609971
141	2.227377986
142	2.227244595
143	2.227090926
144	2.226974994
145	2.22697253
146	2.226850099
147	2.226764316
148	2.226550529
149	2.226465488
150	2.22622482
151	2.226068648
152	2.226001906
153	2.22586911
154	2.225860843
155	2.225742564
156	2.225701358
157	2.225674643
158	2.225622417
159	2.225451671
160	2.225260868
161	2.225086562
162	2.224975173
163	2.224788263
164	2.224748758
165	2.224747095
166	2.224605555
167	2.224464209
168	2.224402624
169	2.224381971
170	2.224351784
171	2.224138215
172	2.223887169
173	2.223804279
174	2.223700748
175	2.223700278
176	2.223597892
177	2.223498051
178	2.223456837
179	2.223413498
180	2.223210867
181	2.223199905
182	2.223136302
183	2.223006717
184	2.222987527
185	2.222942249
186	2.222845433
187	2.222512484
188	2.222185292
189	2.222040726
190	2.221955825
191	2.221902216
192	2.22184787
193	2.221743382
194	2.221679754
195	2.221504934
196	2.221134609
197	2.221063165
198	2.221018776
199	2.220982834
200	2.220812176
201	2.22056931
202	2.220428074
203	2.220219629
204	2.220082833
205	2.219956337
206	2.219878103
207	2.219734209
208	2.219713098
209	2.219669782
210	2.219614462
211	2.219366447
212	2.219236891
213	2.219166103
214	2.219048586
215	2.218832613
216	2.218480908
217	2.218228833
218	2.218080887
219	2.218080631
220	2.218024377
221	2.21780567
222	2.217721917
223	2.217493565
224	2.217365514
225	2.217204816
226	2.217194688
227	2.217027347
228	2.217012799
229	2.216890348
230	2.216861118
231	2.216742564
232	2.216685625
233	2.216540019
234	2.216444048
235	2.216234098
236	2.216154268
237	2.215959314
238	2.215821496
239	2.21579918
240	2.215644733
241	2.215338027
242	2.215015344
243	2.214972853
244	2.214712333
245	2.214670461
246	2.214664394
247	2.214548917
248	2.214527763
249	2.214427915
250	2.214375082
251	2.214176394
252	2.214159708
253	2.213864379
254	2.213856277
255	2.213709231
256	2.213653892
257	2.213569147
258	2.213426309
259	2.213388531
260	2.213331226
261	2.213210987
262	2.213130385
263	2.213003157
264	2.21288887
265	2.212754901
266	2.212582016
267	2.212441992
268	2.212383328
269	2.212189464
270	2.212133943
271	2.212080114
272	2.211901748
273	2.211738686
274	2.21152271
275	2.211440661
276	2.211286267
277	2.211135373
278	2.211087691
279	2.210885085
280	2.210598531
281	2.21057902
282	2.210393529
283	2.210348175
284	2.210071667
285	2.210035837
286	2.20998291
287	2.209799017
288	2.209622365
289	2.209578457
290	2.209442833
291	2.209320089
292	2.209252769
293	2.209170253
294	2.209118299
295	2.209074204
296	2.20897584
297	2.208788307
298	2.208709036
299	2.20862116
300	2.208506212
301	2.208332811
302	2.208324794
303	2.208239016
304	2.208131653
305	2.208114612
306	2.208101028
307	2.20800226
308	2.207745344
309	2.20760068
310	2.207538654
311	2.20748186
312	2.20733039
313	2.207235402
314	2.207078772
315	2.207070885
316	2.206829391
317	2.206749217
318	2.206699139
319	2.2066273
320	2.206522502
321	2.206469425
322	2.206455091
323	2.206380878
324	2.206171953
325	2.205842006
326	2.205778488
327	2.205772644
328	2.205720558
329	2.205610593
330	2.205549239
331	2.205370653
332	2.205294148
333	2.205265536
334	2.205242662
335	2.205203696
336	2.20506717
337	2.205054854
338	2.205017303
339	2.204766924
340	2.204698698
341	2.204537258
342	2.204529564
343	2.204438462
344	2.204297105
345	2.204227907
346	2.204101338
347	2.204020597
348	2.203967689
349	2.203798379
350	2.203755197
351	2.20369037
352	2.203690357
353	2.203638065
354	2.203514491
355	2.20312126
356	2.203092422
357	2.202974306
358	2.202914218
359	2.202863742
360	2.202749753
361	2.202701487
362	2.202691471
363	2.202624299
364	2.202490472
365	2.202257001
366	2.202199169
367	2.20208485
368	2.201982937
369	2.201856797
370	2.20169502
371	2.201619142
372	2.201485275
373	2.201460067
374	2.201380706
375	2.201180322
376	2.201155831
377	2.200934042
378	2.200911046
379	2.200906892
380	2.200889195
381	2.200745239
382	2.20058545
383	2.20053448
384	2.200496386
385	2.200475421
386	2.200448709
387	2.200251499
388	2.20016949
389	2.200030839
390	2.200018854
391	2.199995686
392	2.199935639
393	2.199772644
394	2.199672523
395	2.199624018
396	2.199446381
397	2.199143687
398	2.199070025
399	2.198876975
400	2.198689386
401	2.198680303
402	2.198498805
403	2.198306647
404	2.198240448
405	2.198184741
406	2.198088432
407	2.19808842
408	2.198033089
409	2.197886242
410	2.197593675
411	2.197293606
412	2.197271592
413	2.197167196
414	2.197132522
415	2.197077484
416	2.197028882
417	2.196913236
418	2.19671893
419	2.196607255
420	2.196493944
421	2.196422851
422	2.196409703
423	2.196330169
424	2.196206713
425	2.196157232
426	2.196064376
427	2.195885623
428	2.195821155
429	2.19582114
430	2.195748862
431	2.195512854
432	2.195288122
433	2.195219812
434	2.195052009
435	2.194976575
436	2.194925188
437	2.194842814
438	2.194746758
439	2.194697932
440	2.194580053
441	2.19449763
442	2.194364929
443	2.194330838
444	2.194259779
445	2.194136297
446	2.19402221
447	2.19395602
448	2.193869157
449	2.193845196
