iter	Passed	Remaining
0	57	286888
1	58	145522
2	59	99603
3	60	75999
4	61	61528
5	63	52441
6	64	45789
7	65	40848
8	66	36610
9	66	33207
10	67	30512
11	68	28581
12	69	26662
13	69	24918
14	70	23483
15	71	22244
16	71	21071
17	72	20063
18	73	19199
19	73	18392
20	74	17662
21	75	17042
22	76	16545
23	77	15973
24	77	15508
25	78	15035
26	79	14583
27	79	14173
28	80	13778
29	81	13435
30	81	13103
31	83	13010
32	84	12723
33	85	12543
34	86	12317
35	87	12036
36	87	11781
37	88	11503
38	88	11275
39	89	11040
40	89	10832
41	90	10716
42	91	10543
43	92	10431
44	93	10268
45	93	10077
46	94	9913
47	95	9813
48	95	9667
49	96	9525
50	96	9398
51	97	9275
52	98	9181
53	98	9055
54	99	8914
55	99	8784
56	99	8653
57	100	8597
58	102	8562
59	103	8483
60	103	8401
61	105	8367
62	105	8290
63	106	8209
64	107	8124
65	107	8009
66	107	7938
67	108	7869
68	109	7790
69	109	7714
70	109	7634
71	110	7566
72	111	7500
73	111	7427
74	112	7366
75	112	7294
76	113	7226
77	113	7170
78	114	7136
79	115	7086
80	115	7015
81	116	6964
82	116	6912
83	117	6859
84	117	6817
85	118	6780
86	119	6766
87	120	6728
88	121	6678
89	122	6668
90	123	6638
91	123	6592
92	124	6548
93	124	6510
94	125	6475
95	126	6476
96	127	6435
97	127	6400
98	128	6365
99	129	6329
100	129	6286
101	130	6252
102	130	6222
103	131	6211
104	132	6175
105	132	6137
106	133	6097
107	134	6096
108	134	6055
109	135	6022
110	135	5989
111	136	5960
112	137	5934
113	137	5911
114	138	5884
115	139	5860
116	140	5859
117	141	5835
118	141	5812
119	142	5790
120	142	5765
121	143	5733
122	143	5708
123	144	5683
124	145	5671
125	145	5647
126	146	5620
127	147	5596
128	148	5599
129	148	5576
130	149	5557
131	149	5530
132	150	5511
133	151	5489
134	151	5461
135	152	5461
136	153	5439
137	153	5409
138	154	5390
139	155	5394
140	156	5377
141	156	5356
142	156	5330
143	157	5315
144	158	5302
145	158	5280
146	159	5256
147	159	5239
148	160	5223
149	161	5228
150	162	5213
151	162	5193
152	164	5215
153	165	5192
154	165	5176
155	166	5160
156	167	5151
157	167	5129
158	167	5105
159	168	5091
160	168	5075
161	170	5078
162	170	5064
163	171	5048
164	171	5033
165	172	5010
166	172	5002
167	174	5009
168	175	5003
169	175	4994
170	176	4976
171	176	4962
172	177	4953
173	178	4941
174	179	4948
